"","state.of.res","custid","sex","is.employed","income","marital.stat","health.ins","housing.type","recent.move","num.vehicles","age","is.employed.fix1","age.normalized","Median.Income","income.norm","gp","income.lt.30K","age.range","Income"
"127","California",628305,"M",NA,24400,"Married",TRUE,NA,NA,NA,93,"missing",2.18943097519881,39832,0.612572805784294,0.524707956938073,TRUE,"(65,Inf]",60000
"128","California",1239370,"F",TRUE,45000,"Married",TRUE,"Homeowner with mortgage/loan",TRUE,2,50,"employed",-0.0901116225793037,39832,1.12974492870054,0.520918625639752,FALSE,"(25,65]",75000
"129","California",1371785,"F",TRUE,44900,"Divorced/Separated",FALSE,"Homeowner with mortgage/loan",FALSE,4,47,"employed",-0.249149478238242,39832,1.12723438441454,0.259826339548454,FALSE,"(25,65]",NA
"130","California",1409249,"M",NA,36200,"Married",TRUE,"Homeowner free and clear",FALSE,5,73,"missing",1.12917860413922,39832,0.908817031532436,0.407577290432528,FALSE,"(65,Inf]",NA
"131","California",431729,"M",NA,26700,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,75,"missing",1.23520384124518,39832,0.670315324362322,0.242051174864173,TRUE,"(65,Inf]",NA
"132","California",851013,"M",TRUE,85200,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,63,"employed",0.59905241860943,39832,2.13898373167303,0.355856651207432,FALSE,"(25,65]",NA
"133","California",816773,"M",TRUE,200000,"Married",TRUE,"Rented",TRUE,2,50,"employed",-0.0901116225793037,39832,5.02108857200241,0.774605855345726,FALSE,"(25,65]",19200
"134","California",996953,"F",FALSE,0,"Married",FALSE,"Rented",TRUE,3,35,"not employed",-0.885300900873996,39832,0,0.431511427974328,TRUE,"(25,65]",NA
"135","California",885269,"M",FALSE,32500,"Married",FALSE,"Homeowner with mortgage/loan",FALSE,3,50,"not employed",-0.0901116225793037,39832,0.815926892950392,0.398000883171335,FALSE,"(25,65]",45000
"136","California",716521,"M",TRUE,16100,"Married",FALSE,"Rented",FALSE,2,62,"employed",0.54603980005645,39832,0.404197630046194,0.85930152842775,TRUE,"(25,65]",30600
"137","California",460642,"F",TRUE,99670,"Divorced/Separated",TRUE,"Rented",FALSE,1,44,"employed",-0.408187333897181,39832,2.5022594898574,0.933074203087017,FALSE,"(25,65]",77000
"138","California",348319,"F",NA,0,"Married",TRUE,"Rented",FALSE,3,26,"missing",-1.36241446785081,39832,0,0.0188914467580616,TRUE,"(25,65]",NA
"139","California",333982,"F",NA,19200,"Married",TRUE,"Homeowner free and clear",FALSE,2,72,"missing",1.07616598558625,39832,0.482024502912231,0.530251551419497,TRUE,"(65,Inf]",NA
"140","California",394790,"M",NA,69040,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,75,"missing",1.23520384124518,39832,1.73327977505523,0.831835246179253,FALSE,"(65,Inf]",0
"141","California",1133846,"F",TRUE,75000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,5,47,"employed",-0.249149478238242,39832,1.8829082145009,0.577939256560057,FALSE,"(25,65]",2000
"142","California",535114,"F",NA,0,"Married",FALSE,"Homeowner with mortgage/loan",TRUE,1,50,"missing",-0.0901116225793037,39832,0,0.470489636296406,TRUE,"(25,65]",60000
"143","California",199788,"M",FALSE,43500,"Never Married",FALSE,"Homeowner free and clear",TRUE,2,37,"not employed",-0.779275663768037,39832,1.09208676441052,0.636425565928221,FALSE,"(25,65]",54000
"144","California",1022619,"M",NA,62800,"Divorced/Separated",TRUE,"Rented",FALSE,1,72,"missing",1.07616598558625,39832,1.57662181160876,0.413124240469187,FALSE,"(65,Inf]",NA
